Country,CPI
Russia,26
Turkiye,34
Serbia,36
Albania,37
Hungary,42
North Macedonia,42
Bulgaria,45
Romania,46
Montenegro,46
Greece,49
Croatia,50
Malta,51
Cyprus,53
Poland,54
Slovakia,54
Italy,56
Slovenia,56
Czechia,57
Spain,60
Latvia,60
Lithuania,61
Portugal,61
South Korea,63
United States,69
France,71
Austria,71
United Kingdom,71
Iceland,72
Belgium,73
Japan,73
Estonia,76
Ireland,77
Germany,78
Luxembourg,78
Netherlands,79
Sweden,82
Switzerland,82
Norway,84
Finland,87
Denmark,90
